"Sample","Gene","PDGC","Subpopulation","meanCp","ddCT","foldChange"
"MU011_CD133_pos","BIIITUB","MU011","CD133_pos",31.71,0.0600000000000023,1.04246576084112
"MU011_CD133_pos","CD133","MU011","CD133_pos",26.945,5.93,60.968831874812
"MU011_CD133_pos","CREB1","MU011","CD133_pos",25.455,-1.325,0.399149193178325
"MU011_CD133_pos","GAPDH","MU011","CD133_pos",18.735,0,1
"MU011_CD133_pos","GFAP","MU011","CD133_pos",36.275,-1.375,0.385552706351985
"MU011_CD133_pos","LAMB1","MU011","CD133_pos",25.975,-0.855,0.552865326660134
"MU011_CD133_pos","MGMT","MU011","CD133_pos",27.15,-0.194999999999997,0.873572895916696
"MU011_CD133_pos","NANOG","MU011","CD133_pos",28.755,-0.209999999999997,0.864537231307867
"MU011_CD133_pos","NES","MU011","CD133_pos",31.085,-0.00499999999999901,0.996540262827869
"MU011_CD133_pos","OCT4","MU011","CD133_pos",29.38,-1.495,0.354780839050096
"MU011_CD133_pos","OLIG2","MU011","CD133_pos",38.67,-0.160000000000004,0.89502507092797
"MU011_CD133_pos","SOX2","MU011","CD133_pos",24.485,-0.855,0.552865326660134
"MU020_CD133_pos","ATP5G3","MU020","CD133_pos",25.175,0.270000000000003,1.20580782769076
"MU020_CD133_pos","B2M","MU020","CD133_pos",20.96,0.520000000000003,1.43395524801583
"MU020_CD133_pos","BIIITUB","MU020","CD133_pos",30.63,-0.574999999999996,0.671286251390134
"MU020_CD133_pos","CD133","MU020","CD133_pos",28.0375,0.980000000000004,1.97246540898672
"MU020_CD133_pos","CREB1","MU020","CD133_pos",26.56,-0.164999999999996,0.891928519420095
"MU020_CD133_pos","GAPDH","MU020","CD133_pos",19.3875,0,1
"MU020_CD133_pos","GFAP","MU020","CD133_pos",35.37,-3.48999999999999,0.0890031372248173
"MU020_CD133_pos","GRIA2","MU020","CD133_pos",27.745,1.905,3.74508898973798
"MU020_CD133_pos","HAPLN1","MU020","CD133_pos",28.18,0.645000000000003,1.56373928625719
"MU020_CD133_pos","LAMB1","MU020","CD133_pos",28.555,-0.864999999999995,0.549046406893527
"MU020_CD133_pos","NANOG","MU020","CD133_pos",32.085,-1.73,0.301451956922691
"MU020_CD133_pos","NES","MU020","CD133_pos",23.25,-0.859999999999996,0.550952557938307
"MU020_CD133_pos","OCT4","MU020","CD133_pos",31.29,-0.394999999999996,0.760489376620507
"MU020_CD133_pos","OLIG2","MU020","CD133_pos",23.885,1.21,2.31337636781058
"MU020_CD133_pos","REST","MU020","CD133_pos",28.995,-0.0749999999999957,0.949342120950522
"MU020_CD133_pos","SOX2","MU020","CD133_pos",20.035,0.0750000000000028,1.05336103595484
"MU030_CD133_pos","BIIITUB","MU030","CD133_pos",29.59,-1.235,0.424842499569324
"MU030_CD133_pos","CD133","MU030","CD133_pos",22.785,2.02,4.05583791916011
"MU030_CD133_pos","GAPDH","MU030","CD133_pos",16.615,0,1
"MU030_CD133_pos","NANOG","MU030","CD133_pos",30.565,-1.245,0.421907898065008
"MU030_CD133_pos","NES","MU030","CD133_pos",20.995,-0.715000000000003,0.609205131837594
"MU030_CD133_pos","OLIG2","MU030","CD133_pos",22.705,-0.57,0.673616788432845
"MU030_CD133_pos","SOX2","MU030","CD133_pos",19.11,-0.520000000000003,0.697371833175201
"MU030a_CD133_pos","ATP5G3","MU030a","CD133_pos",26.31,0.192499999999999,1.14274222250205
"MU030a_CD133_pos","B2M","MU030a","CD133_pos",22.495,0.837499999999999,1.7869509073913
"MU030a_CD133_pos","BIIITUB","MU030a","CD133_pos",35.675,-3.4975,0.0885416457675737
"MU030a_CD133_pos","CD133","MU030a","CD133_pos",29.8875,2.2775,4.84837066780716
"MU030a_CD133_pos","CREB1","MU030a","CD133_pos",27.7475,0.422499999999996,1.34024801651331
"MU030a_CD133_pos","GAPDH","MU030a","CD133_pos",21.69,0,1
"MU030a_CD133_pos","GFAP","MU030a","CD133_pos",33.63,-1.905,0.267016352011962
"MU030a_CD133_pos","GRIA2","MU030a","CD133_pos",30.68,0.927499999999998,1.90197726333528
"MU030a_CD133_pos","HAPLN1","MU030a","CD133_pos",34.28,1.43249999999999,2.69914035736117
"MU030a_CD133_pos","LAMB1","MU030a","CD133_pos",30.8775,-1.1925,0.437543997372605
"MU030a_CD133_pos","MGMT","MU030a","CD133_pos",36.7,2.57249999999999,5.94839313649059
"MU030a_CD133_pos","NANOG","MU030a","CD133_pos",33.74,1.94749999999999,3.85705575300779
"MU030a_CD133_pos","NES","MU030a","CD133_pos",36.48,-3.1075,0.116024388580592
"MU030a_CD133_pos","OCT4","MU030a","CD133_pos",33.4675,0.709999999999997,1.63580411711556
"MU030a_CD133_pos","OLIG2","MU030a","CD133_pos",40,0.942499999999999,1.92185567692207
"MU030a_CD133_pos","REST","MU030a","CD133_pos",29.45,1.6475,3.13290277826019
"MU030a_CD133_pos","SOX2","MU030a","CD133_pos",27.4,-0.912500000000001,0.531263683307576
"MU035_CD133_pos","BIIITUB","MU035","CD133_pos",34.16,-1.28,0.411795508633787
"MU035_CD133_pos","CD133","MU035","CD133_pos",27.28,1.105,2.15098878091476
"MU035_CD133_pos","CREB1","MU035","CD133_pos",24.845,-0.934999999999999,0.523042469896265
"MU035_CD133_pos","GAPDH","MU035","CD133_pos",18.58,0,1
"MU035_CD133_pos","GFAP","MU035","CD133_pos",29.66,-3.24,0.105843164045316
"MU035_CD133_pos","LAMB1","MU035","CD133_pos",32.3,-3.035,0.122003970097028
"MU035_CD133_pos","MGMT","MU035","CD133_pos",28.015,-0.620000000000001,0.650670927720966
"MU035_CD133_pos","NANOG","MU035","CD133_pos",29.465,0.295000000000002,1.22688497725381
"MU035_CD133_pos","NES","MU035","CD133_pos",29.71,-2.605,0.164367845025634
"MU035_CD133_pos","OCT4","MU035","CD133_pos",28.99,-0.324999999999999,0.79829838635665
"MU035_CD133_pos","OLIG2","MU035","CD133_pos",35.77,-3.04500000000001,0.121161227116883
"MU035_CD133_pos","SOX2","MU035","CD133_pos",23.495,-1.265,0.416099367355762
"MU041_CD133_pos","ATP5G3","MU041","CD133_pos",28.08,0.302500000000002,1.23327967357004
"MU041_CD133_pos","B2M","MU041","CD133_pos",23.415,0.2775,1.21209266695179
"MU041_CD133_pos","BIIITUB","MU041","CD133_pos",31.965,-1.3175,0.401229614670612
"MU041_CD133_pos","CD133","MU041","CD133_pos",30.67,3.6975,12.9735374245519
"MU041_CD133_pos","CREB1","MU041","CD133_pos",26.705,-1.1725,0.443651883961176
"MU041_CD133_pos","GAPDH","MU041","CD133_pos",20.61,0,1
"MU041_CD133_pos","GFAP","MU041","CD133_pos",30.465,-2.5975,0.165224553252223
"MU041_CD133_pos","GRIA2","MU041","CD133_pos",29.305,1.6925,3.23216309871753
"MU041_CD133_pos","HAPLN1","MU041","CD133_pos",27.385,4.4525,21.8945516210417
"MU041_CD133_pos","LAMB1","MU041","CD133_pos",27.82,-1.4175,0.374360467669282
"MU041_CD133_pos","MGMT","MU041","CD133_pos",28.945,-0.752500000000001,0.593574080284428
"MU041_CD133_pos","NANOG","MU041","CD133_pos",33.4,-5.6875,0.0194040283136482
"MU041_CD133_pos","NES","MU041","CD133_pos",33.45,-3.3425,0.0985841825111626
"MU041_CD133_pos","OCT4","MU041","CD133_pos",30.79,-5.2625,0.0260513148570738
"MU041_CD133_pos","OLIG2","MU041","CD133_pos",39.385,-1.7875,0.28967357736557
"MU041_CD133_pos","REST","MU041","CD133_pos",29.885,-1.1475,0.451406782293594
"MU041_CD133_pos","SOX2","MU041","CD133_pos",25.335,-1.6475,0.3191927968334
